1ZANTEDESCHIA;464;CAPTAIN CUPIDO;
ALSTROMERIA;465;SIBERIA;
EUPHORBIA;466;MARTINI;
EUSTOMA;467;CEESNA ROSA;
CALLE;468;CAPTAIN MAORI;
ZANTEDESCHIA;469;AMBON;
ZANTEDESCHIA;470;GEEL;
ZANTEDESCHIA;471;MANGO;
ALLIUM;472;GLADIATOR;
GENTIANA;473;BLU;
PHLOX;474;DANIELLE;
ALSTROMERIA;475;MONTE LAVA;
CRISANTEMINA;476;SAN VYGOLD;
CYMBIDIUM;477;VERPAKT;
GIRASOLI;478;SUNRICH;
AMAR S;479;SHOWMASTER;
HYDRANGEA;480;ELTBALL BLOW;
HYDRANGEA;481;MAG AMETYST;
HYDRANGEA;482;MAG CRYSTAL;
ROSA;483;LA BELLE;
TANACETUM;484;TANA PA BAYA;
ZANTEDESCHIA;485;RED SOX;
1BEGONIA;486;VICTORIA (BASKET);
1BROMELIA;487;MIX;
1CAMPANULA;488;BERLINO BICOLOR;
1CAMPANULA;489;PORTENSHIAGIANA;
1CROSSANDRA;490;FORTUNA;
1PLATYCODON;491;ASTRA PINK;
1PLATYCODON;492;ASTRA WHITE;
1SPATHIPHYLLUM;493;VERDI;
DELPHINIUM;494;BLUE HEAVEN;
PAEONIA;495;RED CHARM;
ROSA;496;FRESH MOMENT;
ROSA;497;LENNY;
ROSA;498;PRECIUS MOMENT;
AGER;499;BLU HORIZON;
ASCLEPIA;500;TUBEROSA;
CENTAU;501;MONTANA;
DELPHINIUM;502;CENTURIUM WHITE;
DELPHINIUM;503;CENTURIUM SKYB;
DELPHINIUM;504;STARLIGH;
EREMORUS;505;OASE;
EUSTOMA;506;CHARM PICO BLU;
EUSTOMA;507;MARIACHI PINK;
HYDRANGEA;508;BELA BLU;
HYDRANGEA;509;DA VINCI;
HYDRANGEA;510;LOLLY POP;
HYDRANGEA;511;MAG OCEAN;
HYPERICUM;512;MAG BEAUTY;
HYPERICUM;513;WHITE ATT;
ROSA;514;TR PIANO FREILAND;
ROSA;515;TR MILVA;
ROSA;516;TR PIANO PINK;
ROSA;517;GEMENG;
ROSA;518;POLE POSITION;
ROSA;519;SWEET AKITO;
ROSA;520;TALEA;
1AECHMEA;521;MIX;
1ANTHURIUM;522;RODENA FEVER;
APHELANDRA;523;SQUARROS DANIA;
1BOUGAINVILLEA;524;DANIA;
